"state_abbr","state_fips","county_fips","county_name","tract_code","stcotr_fips","stpl_fips","city_name","metric_name","metric_number","group_name","group_number","num","denom","est","lci","uci","data_yr_type","geo_level","date_export","version","Suggested Citation"
MD,24,510,Baltimore city,010100,24510010100,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,"Department of Population Health, NYU Langone Health. City Health Dashboard. https://www.cityhealthdashboard.com/. Accessed [INSERT DATE OF ACCESS]."
MD,24,510,Baltimore city,010200,24510010200,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,010300,24510010300,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,010400,24510010400,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,010500,24510010500,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,020100,24510020100,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,020200,24510020200,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,020300,24510020300,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,030100,24510030100,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,030200,24510030200,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,040100,24510040100,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,040200,24510040200,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,060100,24510060100,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,060200,24510060200,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,060300,24510060300,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,060400,24510060400,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,070100,24510070100,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,070200,24510070200,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,070300,24510070300,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,070400,24510070400,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,080101,24510080101,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,080102,24510080102,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
MD,24,510,Baltimore city,080200,24510080200,2404000,Baltimore,Air pollution - particulate matter,2,total population,1,-999,-999,8.7,-999,-999,2017,tract,2021-10-22,13,
